#version, mean, sd, min, max
600 54 12.37497474744898 28 66 
621 133.88 59.3135363976891 83 261 
621 128.815 102.36611145784514 84 470 
"674_215_860" 527.045 1.724231712966678 525 530 
"676_216_860" 527.37 5.076721382939979 522 545 
"30_677_217_860" 523.98 0.1399999999999993 523 524 
"35_681_217_864" 528.995 1.7363683365000704 527 532 
"43_682_217_868" 506.83 0.9803570778037958 506 508 
"44_683_217_868" 523.995 0.07053367989832933 523 524 
"45_683_218_869" 523.99 0.09949874371066174 523 524 
"48_683_223_870" 486.385 0.7853502403386677 486 488 
"50_683_223_872" 487.99 0.09949874371066174 487 488 
"51_683_224_873" 488.575 4.061326753660686 487 517 
"53_684_224_877" 488.18 0.5979966555090422 487 490 
"64_688_225_878" 483.995 0.07053367989832933 483 484 
"67_688_225_879" 486.995 0.07053367989832933 486 487 
"70_690_225_880" 489 0 489 489 
"86_698_228_895" 487.955 3.4442669757148616 485 494 
"87_699_229_900" 488.49 0.8887631855561994 486 489 
"89_699_230_903" 488.165 0.3711805490593513 488 489 
"90_701_231_909" 488 0 488 488 
"91_701_232_910" 486.47 0.5090186637049776 485 487 
"92_701_232_911" 486.295 0.7056734372214968 486 488 
"93_703_233_914" 487.98 0.1399999999999993 487 488 
"94_709_238_925" 489.28 0.9228217596047472 488 490 
"95_709_241_927" 484.975 0.9243240773668061 484 486 
"96_710_243_933" 478.985 0.12155245781143172 478 479 
"98_711_243_936" 495.54 0.740540343262945 494 497 
"_722_247_942" 517.645 0.8769121962887757 516 519 
"100_722_247_943" 507.67 0.9171150418567964 506 509 
"103_723_247_944" 294.48 0.888594395660926 293 296 
"104_724_247_944" 296.08 0.3370459909270519 296 298 
"105_724_247_946" 233.935 0.843074729783785 232 235 
"106_724_248_948" 334.385 0.6219123732488381 333 335 
"107_725_248_950" 291.495 1.3378994730546818 290 294 
"108_725_248_951" 189.955 1.0358450656348193 188 191 
"109_725_248_955" 188.995 0.07053367989832933 188 189 
"111_725_248_956" 292.525 0.8598691760959886 290 293 
"112_726_248_957" 189 0 189 189 
"113_726_249_957" 189.99 0.09949874371066174 189 190 
"114_726_249_959" 293.64 0.7876547467006091 291 294 
"115_726_249_962" 188.99 0.09949874371066174 188 189 
"116_726_250_964" 83.985 0.12155245781143179 83 84 
