#version, mean, sd, min, max
600 200.1999999999999 8.526512829121202e-14 200.2 200.2 
621 1.0823252073999996 2.1938543065592913 0 6.275016 
621 1.9287515118500005 6.110414996346338 0 22.571208640000002 
"674_215_860" 95.54121183314996 3.17393997964722 87.60732173 99.83247840000001 
"676_216_860" 77.98123441814997 13.550039852214601 43.002214179999996 90.90995441 
"30_677_217_860" 78.83604917834992 2.3133326517615322 73.83377085000001 82.13114977000001 
"35_681_217_864" 106.34232204319987 3.512953831573983 100.49063147 111.60098380000001 
"43_682_217_868" 79.61271433320012 2.6127326330888194 75.439208 83.71283840000001 
"44_683_217_868" 96.40495049645011 3.2930251825058825 89.4987376 101.2318096 
"45_683_218_869" 96.56408974094997 3.3133531643964074 90.83563287 101.246696 
"48_683_223_870" 86.58906667655 2.5765061029050416 81.11787604999999 90.12045111 
"50_683_223_872" 86.31925184464997 2.2296090047186414 81.50754239999999 89.774904 
"51_683_224_873" 77.38484559964995 2.4170989050667737 71.98522055 80.52229074 
"53_684_224_877" 86.44644820195 2.6354404901792012 78.2846192 90.41071146 
"64_688_225_878" 69.48285692844993 1.6521732678999963 65.5219788 71.9448768 
"67_688_225_879" 77.31665287530011 2.045314275133991 71.4234577 80.50533893 
"70_690_225_880" 77.49379476749999 2.3752791790645977 72.802208 80.40132107 
"86_698_228_895" 62.44982064010005 1.5028605730467226 59.41991762 64.7646048 
"87_699_229_900" 76.06203821934997 1.750160133994264 71.9232672 78.68029754 
"89_699_230_903" 69.53274633854996 1.916588534782513 66.04571406 72.2400784 
"90_701_231_909" 62.55277635420002 1.5598023593147896 59.2542137 64.7819796 
"91_701_232_910" 69.53686171385006 1.6523802842811048 65.5365247 71.84486079999999 
"92_701_232_911" 77.40903262064995 1.5924771687219974 74.25476 80.21231273999999 
"93_703_233_914" 86.51295663384997 2.2000517313012447 81.65843263 89.96129119999999 
"94_709_238_925" 86.38411873179989 2.0868871316226905 82.49972159999999 89.87229440000002 
"95_709_241_927" 69.46548805719993 1.5466333267123906 66.09604319 71.58991081999999 
"96_710_243_933" 62.00015277945 2.1778119680753503 56.543137769999994 65.4142992 
"98_711_243_936" 62.577198060500024 2.072912807357101 58.33747491 65.80681440000001 
"_722_247_942" 331.42708163715014 3.6186955743106894 324.3300096 338.91986560000004 
"100_722_247_943" 409.5317760759502 4.715491122984853 393.51872211000006 416.1657664 
"103_723_247_944" 52.65800342600007 0.3038167952239112 51.8667509 53.165588799999995 
"104_724_247_944" 84.0001622448 0.4718563899263462 82.7460928 84.757007 
"105_724_247_946" 39.24329113915 1.0005650214967468 36.955987199999996 41.257390400000006 
"106_724_248_948" 60.76773230170002 1.3842147956802855 56.12956643 63.20808 
"107_725_248_950" 84.18886210710001 0.44201336788366463 82.77011839999999 84.9341056 
"108_725_248_951" 42.127679274849996 0.1894165077397596 41.66994121 42.54224995 
"109_725_248_955" 42.12128110200003 0.16408206501393954 41.746124800000004 42.49847901 
"111_725_248_956" 84.05415641049994 0.2897653694548447 83.26818797 84.69034239999999 
"112_726_248_957" 42.12637813275 0.167116442326906 41.76858549 42.48006079 
"113_726_249_957" 42.1401111886 0.16971922908286313 41.80836793 42.4758528 
"114_726_249_959" 65.79172690385009 0.23941766604528997 65.12076145 66.19792361 
"115_726_249_962" 42.13332099974997 0.18449363029947397 41.6401792 42.5051264 
"116_726_250_964" 0 0 0 0 
"117_727_250_966" 42.10580851754997 0.18785066127333955 41.71241272 42.475424 
"118_727_250_967" 65.8226284199 0.24631507949665404 65.26338744 66.31446240000001 
"119_727_250_968" 42.124771486199954 0.18396662557114024 41.6644928 42.5230976 
"120_727_251_970" 65.81935522365 0.30939703043542843 65.264616 66.36742731 
"122_727_251_971" 42.127312113950026 0.16834318375141555 41.7368352 42.5217376 
"123_727_251_972" 84.06663631070006 0.36831957712686897 83.2921536 84.8300416 
"124_727_251_975" 42.101035381600006 0.179994000071237 41.67678465 42.5348672 
"125_727_251_976" 65.7822510109 0.21566861774753665 65.40089280000001 66.26235519999999 
"127_727_252_978" 84.09316775625008 0.38917167237915906 83.2914112 84.70991764 
"128_728_252_979" 42.118257908199986 0.18042807704325384 41.6545216 42.4868016 
"129_728_252_980" 42.134503263 0.15859868820993955 41.812648 42.50096 
"130_728_252_982" 42.13089905999996 0.1971119947574452 41.641926399999996 42.580096 
"131_728_254_983" 84.18764207929993 0.4078344980051289 83.3445248 85.0346112 
"132_728_254_984" 84.17577276085004 0.2783134380863983 83.59506338999999 84.70737213000001 
"133_729_254_985" 47.374860134949955 0.279184150535232 46.698952 48.015561690000006 
"134_729_254_986" 65.72481316269999 0.22000250653379583 65.0534848 66.27860187 
"135_729_254_987" 42.15204689314994 0.18771659455897627 41.700064 42.570052389999994 
"137_729_254_991" 78.02833526369992 4.0749232203316055 66.1006336 83.5737488 
"138_730_254_991" 65.79016920460002 0.29650969598797533 65.0440144 66.40087679999999 
"139_730_254_992" 65.77880360354999 0.24787073209260263 65.1274913 66.20272265000001 
"140_730_254_994" 42.06966175440005 0.19329335778244713 41.3385035 42.47452589 
